,tweet_id,retweet_count,favorite_count
961,nan,5747,14621
962,nan,1316,4934
963,nan,4947,14569
964,nan,1309,5005
965,nan,39,758
966,nan,1095,3409
967,nan,1440,3990
968,nan,1466,4740
969,nan,959,3344
970,nan,613,2383
971,nan,3802,8653
972,nan,1011,3444
973,nan,703,3502
974,nan,888,2986
975,nan,1035,3568
976,nan,919,3331
977,nan,2772,5569
978,nan,1493,5114
979,nan,1904,6721
980,nan,622,2892
981,nan,3951,9488
982,nan,2509,6076
983,nan,2360,6353
984,nan,1714,5277
985,nan,896,3425
986,nan,3759,11235
987,nan,2564,6461
988,nan,1067,3047
989,nan,1814,5213
990,nan,1504,4659
991,nan,2272,6696
992,nan,776,2411
993,nan,1413,5735
994,nan,4701,8462
995,nan,867,4078
996,nan,810,4027
997,nan,8825,15549
998,nan,2444,6397
999,nan,2894,7310
1000,nan,1116,3243
1001,nan,851,3084
1002,nan,1316,5346
1003,nan,179,1520
1004,nan,6614,14182
1005,nan,619,2545
1006,nan,1205,4065
1007,nan,1803,6110
1008,nan,1169,4249
1009,nan,2184,5965
1010,nan,3257,0
1011,nan,1791,5792
1012,nan,1038,3722
1013,nan,4548,10534
1014,nan,336,3168
1015,nan,2429,6593
1016,nan,1944,5807
1017,nan,1806,5345
1018,nan,4432,10520
1019,nan,2037,6648
1020,nan,2104,5520
1021,nan,1110,0
1022,nan,1226,5094
1023,nan,1854,6637
1024,nan,2511,7565
1025,nan,931,3904
1026,nan,1207,4437
1027,nan,2636,7652
1028,nan,2894,7824
1029,nan,2768,9412
1030,nan,3131,7863
1031,nan,3976,8605
1032,nan,2585,7945
1033,nan,716,3277
1034,nan,3042,8652
1035,nan,1771,6150
1036,nan,2412,7443
1037,nan,79515,131075
1038,nan,424,1868
1039,nan,1231,4551
1040,nan,1087,3999
1041,nan,2387,0
1042,nan,1560,4917
1043,nan,7445,20275
1044,nan,1066,3863
1045,nan,4185,8671
1046,nan,1366,4624
1047,nan,2164,6792
1048,nan,1560,4215
1049,nan,4011,7744
1050,nan,2245,4878
1051,nan,4382,7916
